Account,Date,Transaction_Type,Transaction_Amount,Wallet_Impact,Balance,Recipient_Number,Is_Fraud
USER_9,2025-07-01 00:00:00,Pay Bill,0,-0.0,1000.0,(226)562-4861x9378,1
USER_10,2025-07-01 00:02:00,Withdraw,0,-0.0,1000.0,8118496092,0
USER_10,2025-07-01 00:04:00,Withdraw,0,0.0,1000.0,(306)591-1828,0
USER_7,2025-07-01 00:04:00,Send Money,0,0.0,1000.0,369-621-3173,0
USER_4,2025-07-01 00:06:00,Deposit,0,-0.0,1000.0,525-413-4143,1
USER_2,2025-07-01 00:12:00,Send Money,0,-0.0,1000.0,2143852594,1
USER_6,2025-07-01 00:12:00,Buy Goods,23,0.23,1000.23,001-901-243-6080x1594,1
USER_1,2025-07-01 00:12:00,Send Money,11,-0.15,999.85,001-753-992-7731x257,0
USER_9,2025-07-01 00:14:00,Pay Bill,0,0.0,1000.0,473.510.8626,1
USER_3,2025-07-01 00:16:00,Send Money,2,-0.02,999.98,+1-320-499-4995,1
USER_10,2025-07-01 00:20:00,Deposit,2,0.03,1000.03,+1-794-605-9600x1885,0
USER_6,2025-07-01 00:20:00,Deposit,0,-0.0,1000.23,907.561.4133,0
USER_6,2025-07-01 00:20:00,Withdraw,0,-0.0,1000.23,001-570-853-3756x23930,0
USER_5,2025-07-01 00:22:00,Buy Goods,1,-0.01,999.99,896-634-2587x8800,1
USER_3,2025-07-01 00:30:00,Deposit,0,0.0,999.98,+1-623-363-1885x462,0
USER_4,2025-07-01 00:30:00,Withdraw,2,0.01,1000.01,695-981-6186x4022,1
USER_8,2025-07-01 00:32:00,Pay Bill,0,0.0,1000.0,245-862-3383,1
USER_10,2025-07-01 00:32:00,Withdraw,0,-0.0,1000.03,+1-839-476-4232x4913,1
USER_8,2025-07-01 00:32:00,Withdraw,3,-0.02,999.98,573.565.8553x5138,1
USER_7,2025-07-01 00:32:00,Withdraw,19,0.04,1000.04,713-578-1474,0
USER_5,2025-07-01 00:32:00,Pay Bill,0,-0.0,999.99,001-237-333-3720x73562,0
USER_4,2025-07-01 00:34:00,Send Money,1,-0.0,1000.01,(263)324-8324x268,1
USER_4,2025-07-01 00:36:00,Deposit,0,0.0,1000.01,(935)430-3604,0
USER_5,2025-07-01 00:38:00,Send Money,125,-0.75,999.24,578-823-0650x551,0
USER_6,2025-07-01 00:40:00,Pay Bill,0,-0.0,1000.23,(399)575-0897,1
USER_3,2025-07-01 00:42:00,Deposit,18,0.06,1000.04,001-439-977-9645x74098,1
USER_10,2025-07-01 00:42:00,Send Money,1,-0.01,1000.02,601-306-3194x27818,0
